Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,10,197166,0,0,2000
c,100000,100000_rows.csv,10,215842,0,0,2000
c,100000,100000_rows.csv,10,228229,0,0,1680
c,100000,100000_rows.csv,10,249324,0,0,1680
c,100000,100000_rows.csv,10,272617,0,0,2000
c,100000,100000_rows.csv,10,293371,0,0,2000
c,100000,100000_rows.csv,10,313135,0,0,2000
c,100000,100000_rows.csv,10,340817,0,0,2000
c,100000,100000_rows.csv,10,363025,0,0,2000
c,100000,100000_rows.csv,10,378719,0,0,1680
c,100000,100000_rows.csv,10,394243,0,0,2000
c,100000,100000_rows.csv,10,419239,0,0,144
